iter	RMSE
0	0.3892910626
1	0.3821413524
2	0.3753296205
3	0.3690467001
4	0.3633148842
5	0.357937103
6	0.3514925773
7	0.3451399057
8	0.3388906863
9	0.3330367309
10	0.3277135644
11	0.3216436992
12	0.317190471
13	0.3124467779
14	0.3079020243
15	0.3032670339
16	0.2985560153
17	0.2939937331
18	0.2896421995
19	0.2853431231
20	0.2808700535
21	0.2768669636
22	0.2729504351
23	0.2693187557
24	0.2652522903
25	0.261862621
26	0.2584931701
27	0.2549159111
28	0.2516441048
29	0.2483888202
30	0.2451566583
31	0.2422126233
32	0.2391998746
33	0.2365103541
34	0.233590778
35	0.2311577185
36	0.2284339953
37	0.2260557059
38	0.2236597844
39	0.2210817028
40	0.2186408707
41	0.2163466328
42	0.214038845
43	0.2120893291
44	0.2100214781
45	0.2076719725
46	0.2053306958
47	0.2033378979
48	0.201705472
49	0.2001142344
50	0.1986480689
51	0.1967001387
52	0.1949372357
53	0.1930429758
54	0.1911976864
55	0.1898396188
56	0.1881224249
57	0.1863419101
58	0.1847718356
59	0.1833105857
60	0.182003594
61	0.1807249634
62	0.1791442033
63	0.1777189685
64	0.1766287856
65	0.1754404561
66	0.1742665453
67	0.1729489692
68	0.1717691459
69	0.1706207784
70	0.1694397551
71	0.1681841057
72	0.167065136
73	0.1660652657
74	0.1649558374
75	0.164148151
76	0.1631473566
77	0.1620369265
78	0.1609368143
79	0.1599378207
80	0.1588549709
81	0.1580406734
82	0.1574174739
83	0.1564353834
84	0.1556519398
85	0.1547542833
86	0.1539041331
87	0.153139944
88	0.152410029
89	0.1517648467
90	0.1510003216
91	0.1500803522
92	0.1495338315
93	0.1489638713
94	0.1482337549
95	0.1473979819
96	0.1467491571
97	0.1461171279
98	0.1454874874
99	0.1449168656
100	0.1444016323
101	0.1439090194
102	0.1433230053
103	0.1428620398
104	0.1423230174
105	0.1417126911
106	0.141191851
107	0.140642829
108	0.1403340163
109	0.1397873655
110	0.1393441609
111	0.138780338
112	0.1382813929
113	0.1378410732
114	0.1374794156
115	0.1371017713
116	0.1366904482
117	0.1362771209
118	0.1358106359
119	0.1353411854
120	0.1349088481
121	0.1344901615
122	0.1340561813
123	0.1336081265
124	0.1333254703
