iter	Passed	Remaining
0	162	325601
1	164	164668
2	166	110886
3	168	83931
4	169	67777
5	171	56986
6	173	49287
7	174	43514
8	176	39030
9	178	35484
10	180	32592
11	181	30150
12	183	28074
13	185	26291
14	187	24751
15	188	23399
16	190	22209
17	192	21147
18	194	20232
19	196	19429
20	198	18685
21	200	17981
22	201	17335
23	203	16742
24	205	16195
25	206	15690
26	208	15220
27	210	14803
28	211	14406
29	213	14028
30	215	13675
31	217	13346
32	218	13032
33	220	12740
34	222	12464
35	223	12203
36	225	11956
37	227	11737
38	229	11518
39	230	11305
40	232	11106
41	234	10922
42	235	10738
43	237	10561
44	239	10391
45	241	10242
46	242	10090
47	244	9943
48	246	9801
49	247	9663
50	249	9533
51	251	9406
52	252	9286
53	254	9168
54	256	9060
55	257	8954
56	259	8851
57	261	8749
58	262	8650
59	264	8555
60	266	8462
61	267	8371
62	269	8284
63	271	8201
64	273	8129
65	274	8052
66	276	7974
67	278	7899
68	279	7828
69	281	7758
70	283	7689
71	284	7622
72	286	7557
73	288	7498
74	289	7440
75	291	7380
76	293	7321
77	294	7263
78	296	7207
79	298	7163
80	300	7116
81	302	7064
82	303	7014
83	305	6973
84	307	6926
85	309	6879
86	310	6832
87	312	6787
88	314	6744
89	315	6702
90	317	6662
91	319	6622
92	321	6590
93	323	6557
94	325	6525
95	327	6499
96	329	6468
97	331	6431
98	333	6395
99	334	6359
100	336	6328
101	338	6299
102	340	6266
103	341	6234
104	343	6201
105	345	6168
106	346	6137
107	348	6106
108	350	6077
109	352	6051
110	354	6024
111	355	5995
112	357	5966
113	358	5938
114	360	5910
115	362	5883
116	363	5856
117	365	5829
118	367	5803
119	369	5782
120	370	5759
121	372	5734
122	374	5710
123	375	5685
124	377	5662
125	379	5639
126	380	5616
127	382	5592
128	384	5572
129	386	5554
130	388	5537
131	389	5515
132	391	5494
133	393	5473
134	394	5452
135	396	5432
136	397	5412
137	399	5396
138	402	5384
139	403	5365
140	405	5346
141	407	5327
142	408	5309
143	410	5291
144	412	5272
145	413	5254
146	415	5236
147	417	5223
148	419	5206
149	420	5188
150	422	5172
151	424	5155
152	425	5138
153	427	5121
154	428	5105
155	430	5088
156	432	5072
157	433	5059
158	435	5044
159	437	5029
160	438	5014
161	440	5001
162	442	4989
163	444	4974
164	446	4960
165	447	4948
166	450	4940
167	452	4929
168	453	4916
169	455	4902
170	457	4888
171	458	4875
172	460	4861
173	461	4848
174	463	4834
175	465	4828
176	468	4822
177	470	4812
178	472	4804
179	474	4794
180	476	4785
181	478	4775
182	480	4766
183	482	4760
184	484	4750
185	485	4739
186	487	4730
187	489	4720
188	491	4709
189	493	4698
190	495	4688
191	497	4680
192	498	4671
193	500	4661
194	502	4652
195	504	4642
196	506	4632
197	508	4623
198	509	4614
199	511	4604
200	513	4598
201	515	4590
202	517	4583
203	519	4575
204	521	4565
205	523	4559
206	525	4551
207	527	4542
208	529	4536
209	531	4529
210	533	4520
211	534	4511
212	536	4502
213	538	4495
214	540	4487
215	542	4479
216	544	4471
217	546	4468
218	548	4461
219	550	4453
220	552	4444
221	553	4436
222	555	4429
223	557	4421
224	559	4413
225	561	4410
226	563	4403
227	565	4395
228	567	4387
229	569	4379
230	570	4371
231	572	4363
232	574	4356
233	576	4350
234	578	4344
235	580	4338
236	582	4330
237	583	4323
238	586	4318
239	587	4311
240	589	4304
241	591	4298
242	593	4292
243	595	4286
244	597	4279
245	599	4272
246	601	4265
247	602	4259
248	604	4251
249	606	4247
250	608	4242
251	610	4237
252	612	4232
253	615	4229
254	617	4224
255	619	4219
256	621	4214
257	623	4208
258	625	4204
259	627	4198
260	629	4194
261	631	4191
262	633	4186
263	635	4180
264	637	4174
265	639	4169
266	641	4163
267	643	4158
268	645	4153
269	647	4150
270	649	4145
271	651	4140
272	653	4134
273	655	4129
274	657	4124
275	659	4118
276	661	4113
277	663	4110
278	665	4105
279	667	4100
280	669	4094
281	671	4089
282	673	4084
283	675	4080
284	677	4075
285	679	4071
286	681	4067
287	683	4062
288	685	4057
289	687	4051
290	689	4048
291	691	4043
292	693	4038
293	695	4035
294	697	4031
295	699	4026
296	701	4021
297	703	4017
298	705	4012
299	707	4007
300	709	4003
301	712	4007
302	715	4004
303	717	4001
304	719	3996
305	721	3991
306	723	3987
307	724	3982
308	727	3979
309	729	3975
310	731	3971
311	733	3966
312	735	3962
313	737	3957
314	739	3953
315	740	3948
316	742	3943
317	744	3938
318	746	3933
319	748	3927
320	750	3923
321	752	3919
322	754	3915
323	755	3909
324	757	3904
325	759	3901
326	761	3895
327	763	3890
328	764	3885
329	766	3880
330	768	3875
331	770	3870
332	772	3865
333	773	3860
334	776	3856
335	777	3852
336	779	3847
337	781	3842
338	783	3837
339	784	3832
340	786	3827
341	788	3822
342	790	3818
343	792	3814
344	794	3809
345	795	3804
346	797	3800
347	799	3795
348	801	3791
349	803	3785
350	804	3781
351	806	3777
352	808	3772
353	810	3768
354	812	3763
355	814	3759
356	815	3754
357	817	3749
358	819	3745
359	821	3740
360	823	3737
